0=正確|Correct
20220=銀證轉賬客戶已銷戶|
20229=銀證轉賬客戶已半凍結|
20230=銀證轉賬客戶已待銷戶|
20231=銀證轉賬客戶已限制|
20232=銀證轉賬客戶狀態正常|
20221=銀證轉賬金額超限|
20226=銀證轉賬金額到達預警金額|
20227=銀證轉賬資金賬號已使用|
20224=未收到銀行主機應答|
20225=有轉賬業務發生|
20233=沖正賬號與原交易不符|
20234=沖正幣種與原交易不符|
20235=沖正交易碼與原交易不符|
20236=請求流水號不合法|
20237=非交易時間|
20301=取資金信息出錯|
20302=校驗資金出錯|
20303=解凍銀行資金出錯|
20304=凍結銀行資金錯|
20305=可取資金不足|
20306=凍結資金錯|
20307=修改資金流水錯|
20308=幣種不能為空|
20309=沖正凍結資金錯|
20310=解凍資金錯|
20311=沖正解凍資金錯|
20312=沖正凍結資金與原交易不符|
20313=重發解凍資金與原交易不符|
20314=沖正解凍資金與原交易不符|
20315=錯誤的解凍標誌|
20316=該股東有資金余額|
20317=該股東有凍結資金|
20318=該股東有未回資金|
20319=資金為負|
20320=可用資金不足|
20321=資金開戶失敗|
20322=備註信息不能為空|
20323=沖正資金與原交易不符|
20401=證券公司不存在|
20402=該證券公司已存在|
20403=該證券公司已註銷|
20404=非同屬壹個證券公司|
20405=該證券公司正在清算|
20406=該證券公司狀態不正常|
20407=證券公司櫃臺交易服務關閉|
20408=無此證券公司擴展信息|
20409=證券公司未簽到|
20410=證券公司已簽到|
20411=證券公司未簽退|
20412=取證券公司清算賬號錯誤|
20413=無證券公司對應營業部編號|
24000=通信包格式錯誤|
24001=連接銀行失敗|
24002=向銀行發送請求失敗|
24003=向銀行後臺發送請求失敗|
24004=接受銀行後臺應答失敗|
24005=發送銀行應答失敗|
24006=接受銀行應答失敗|
24010=接受銀行請求失敗|
24011=發送主機失敗|
24012=接受主機應答失敗|
24013=連接證券失敗|
24014=發送請求到證券失敗|
24015=接受證券應答失敗|
24016=發送證券應答失敗|
24017=首次登陸需要修改密碼|Password should be updated when first login!
24018=授權碼驗證不通過|Terminal Code Validation does not pass
24019=撤單操作對象委托類型不匹配|
24020=非管理員前置|
24021=不能找到對應匯率|
24022=不能找到貨幣質押比率|
24023=質押動作不正確|Pledge action not right.
24024=系統參數不正確，報價單位為0|"System param not right, price unit is zero."
24025=系統參數不正確，匯率為0|"System param not right, exchange rate is zero."
24026=記錄已存在|Records allready exist
24027=記錄不存在|Record not exist
24028=不允許訂閱全部|not allow sub all
24029=未找到最低保障系數|MinSecurityCoefficient not found
24030=未找到標的物收盤價|Underlying PreClosePrice not found
24031=保證金優惠參數表單字段錯誤|Margin Preferential Parame table has bad field
24032=非優惠組合合約|Invalid Preferential Comb Instrument
24033=組合與拆分指令版本太舊|Margin Comb Action Order Version Is Old
24034=消息號不存在|MsgNumber not exist
24035=最大手數為負數，強制為零|Max volume is less than 0 and froced to 0
